date,close
2002-08-08,-0.25414138100705264
2002-08-09,-0.24410035604868752
2002-08-12,-0.24964809141343047
2002-08-13,-0.2543580288300369
2002-08-14,-0.22712034864230635
2002-08-15,-0.2163928930606771
2002-08-16,-0.21873952396915852
2002-08-19,-0.20013414940890406
2002-08-20,-0.2069400100823391
2002-08-21,-0.195513359099311
2002-08-22,-0.18769954629474028
2002-08-23,-0.20517560073937158
2002-08-26,-0.199630314232902
2002-08-27,-0.20887245841035118
2002-08-28,-0.2261804738699379
2002-08-29,-0.22584439589984873
2002-08-30,-0.22424139971261936
2002-09-03,-0.24944737289576602
2002-09-04,-0.23873490902907668
2002-09-05,-0.24519639517088931
2002-09-06,-0.23482400952219018
2002-09-09,-0.2292127189253529
2002-09-10,-0.22037068525760928
2002-09-11,-0.2252167998639688
2002-09-12,-0.23950008501955455
2002-09-13,-0.23762965482060872
2002-09-16,-0.235759224621663
2002-09-17,-0.25327325284815516
2002-09-18,-0.26075497364393807
2002-09-19,-0.27988437340588335
2002-09-20,-0.28286005781329715
2002-09-23,-0.28872640707362696
2002-09-24,-0.30020404693079406
2002-09-25,-0.28286005781329715
2002-09-26,-0.2711273592926373
2002-09-27,-0.2964631865329026
2002-09-30,-0.3046250637646658
2002-10-01,-0.2712123788471349
2002-10-02,-0.2930624043530011
2002-10-03,-0.30020404693079406
2002-10-04,-0.31304199965992185
2002-10-07,-0.32724026526101013
2002-10-08,-0.31669784050331573
2002-10-09,-0.33599727937425616
2002-10-10,-0.3144873320863799
2002-10-11,-0.28447542934875025
2002-10-14,-0.2804795102873662
2002-10-15,-0.2458765516068696
2002-10-16,-0.26415575582383954
2002-10-17,-0.2495323924502636
2002-10-18,-0.24638666893385486
2002-10-21,-0.233378677095732
2002-10-22,-0.23890494813807184
2002-10-23,-0.2331236184322394
2002-10-24,-0.24876721645978583
2002-10-25,-0.2331236184322394
2002-10-28,-0.23813977214759396
2002-10-29,-0.24698180581533757
2002-10-30,-0.2396701241285495
2002-10-31,-0.24740690358782524
2002-11-01,-0.23252848155075678
2002-11-04,-0.2252167998639688
2002-11-05,-0.21909539194014627
2002-11-06,-0.20897806495493965
2002-11-07,-0.22836252338037744
2002-11-08,-0.23779969392960376
2002-11-11,-0.24961741200476106
2002-11-12,-0.2436660431899338
2002-11-13,-0.24290086719945592
2002-11-14,-0.22861758204387006
2002-11-15,-0.2229212718925353
2002-11-18,-0.2307430709063084
2002-11-19,-0.2317633055602789
2002-11-20,-0.2146743751062744
2002-11-21,-0.20005101173269857
2002-11-22,-0.20574732188403333
2002-11-25,-0.20523720455704808
2002-11-26,-0.22037068525760928
2002-11-27,-0.19843564019724536
2002-11-29,-0.20098622683217138
2002-12-02,-0.19971093351470848
2002-12-03,-0.2104233973813977
2002-12-04,-0.21399421867029422
2002-12-05,-0.22266621322904268
2002-12-06,-0.21756503995919063
2002-12-09,-0.23907498724706688
2002-12-10,-0.22887264070736268
2002-12-11,-0.2281924842713824
2002-12-12,-0.22827750382587997
2002-12-13,-0.24043530011902736
2002-12-16,-0.22079578303009695
2002-12-17,-0.22759734738989978
2002-12-18,-0.23652440061214086
2002-12-19,-0.2419656520999831
2002-12-20,-0.23490902907668776
2002-12-23,-0.23465397041319513
2002-12-24,-0.24030777078728105
2002-12-26,-0.2400102023465397
2002-12-27,-0.2570991328005442
2002-12-30,-0.2508927053222242
2002-12-31,-0.2498724706682537
2003-01-02,-0.22572691719095406
2003-01-03,-0.22334636966502308
2003-01-06,-0.2085142613878247
2003-01-07,-0.2104725415070242
2003-01-08,-0.22188165176670926
2003-01-09,-0.20979140059599832
2003-01-10,-0.20766283524904217
2003-01-13,-0.20791826309067685
2003-01-14,-0.20536398467432948
2003-01-15,-0.21328224776500637
2003-01-16,-0.21651766709237974
2003-01-17,-0.2280970625798212
2003-01-21,-0.24010217113665389
2003-01-22,-0.24929757343550452
2003-01-23,-0.24469987228607926
2003-01-24,-0.26453810131971056
2003-01-27,-0.2745849297573435
2003-01-28,-0.2692209450830141
2003-01-29,-0.26368667518092803
2003-01-30,-0.2811409110259685
2003-01-31,-0.26726266496381434
2003-02-03,-0.2658152405278842
2003-02-04,-0.2730523627075352
2003-02-05,-0.2775649212430822
2003-02-06,-0.28097062579821197
2003-02-07,-0.2897403150276714
2003-02-10,-0.2847169008088548
2003-02-11,-0.289655172413793
2003-02-12,-0.3009791400595999
2003-02-13,-0.29885057471264376
2003-02-14,-0.28352490421455934
2003-02-18,-0.27092379736057903
2003-02-19,-0.2747552149851
2003-02-20,-0.28199233716475103
2003-02-21,-0.2747552149851
2003-02-24,-0.286504895700298
2003-02-25,-0.28080034057045555
2003-02-26,-0.2912728820774798
2003-02-27,-0.28190719455087265
2003-02-28,-0.27713920817369087
2003-03-03,-0.2840357598978288
2003-03-04,-0.29544487015751386
2003-03-05,-0.2894848871860366
2003-03-06,-0.29544487015751386
2003-03-07,-0.2905917411664539
2003-03-10,-0.30762026394210307
2003-03-11,-0.31443167305236275
2003-03-12,-0.3098339719029374
2003-03-13,-0.28599404001702855
2003-03-14,-0.283695189442316
2003-03-17,-0.26113239676458067
2003-03-18,-0.2567901234567901
2003-03-19,-0.23705438459536832
2003-03-20,-0.23540636655390756
2003-03-21,-0.2205319888734354
2003-03-24,-0.24334468010823074
2003-03-25,-0.23610020075063276
2003-03-26,-0.23994064763899792
2003-03-27,-0.2393296674522125
2003-03-28,-0.24317011434057778
2003-03-31,-0.2562752325785501
2003-04-01,-0.24133674279164086
2003-04-02,-0.22299620844722678
2003-04-03,-0.22669958557446424
2003-04-04,-0.22211445198836077
2003-04-07,-0.22361343796843314
2003-04-08,-0.22237897892602065
2003-04-09,-0.2311837455830389
2003-04-10,-0.22694346289752643
2003-04-11,-0.23012367491166075
2003-04-14,-0.21422261484098937
2003-04-15,-0.20520538243626052
2003-04-16,-0.21819631467044642
2003-04-17,-0.20659107016300493
2003-04-21,-0.19234234234234227
2003-04-22,-0.17637511271415696
2003-04-23,-0.1688007213706041
2003-04-24,-0.17619477006312
2003-04-25,-0.1863841298467087
2003-04-28,-0.1723174030658251
2003-04-29,-0.16943192064923362
2003-04-30,-0.1712353471596033
2003-05-01,-0.17132551848512168
2003-05-02,-0.15951307484220023
2003-05-05,-0.16113615870153297
2003-05-06,-0.15320108205590632
2003-05-07,-0.1578899909828675
2003-05-08,-0.1663660955816051
2003-05-09,-0.15482416591523895
2003-05-12,-0.1444544634806133
2003-05-13,-0.14598737601442746
2003-05-14,-0.14779080252479715
2003-05-15,-0.14238052299368809
2003-05-16,-0.14454463480613167
2003-05-19,-0.1584922797456857
2003-05-20,-0.1602179836512262
2003-05-21,-0.1584922797456857
2003-05-22,-0.1501362397820164
2003-05-23,-0.13736314288342988
2003-05-27,-0.11748381128584628
2003-05-28,-0.1083876980428704
2003-05-29,-0.10822429906542053
2003-05-30,-0.09324728769173207
2003-06-02,-0.07821229050279332
2003-06-03,-0.07442477038159268
2003-06-04,-0.06107376195436043
2003-06-05,-0.05068114699437931
2003-06-06,-0.054396494236448434
2003-06-09,-0.06401829094026867
2003-06-10,-0.054491759550347685
2003-06-11,-0.044488901590930774
2003-06-12,-0.041535676860055215
2003-06-13,-0.05153853481947224
2003-06-16,-0.031532818900638304
2003-06-17,-0.031532818900638304
2003-06-18,-0.00926648458837298
2003-06-19,-0.016132205390517407
2003-06-20,-0.021837497540822315
2003-06-23,-0.03187094235687582
2003-06-24,-0.030887271296478502
2003-06-25,-0.040625614794412734
2003-06-26,-0.02813299232736577
2003-06-27,-0.039346842415896144
2003-06-30,-0.039641943734015306
2003-07-01,-0.03078890419043867
2003-07-02,-0.018591383041510978
2003-07-03,-0.028723194963604204
2003-07-07,-0.009443242179814959
2003-07-08,-0.0050167224080266415
2003-07-09,-0.01062364745229194
2003-07-10,-0.023214637025378737
2003-07-11,-0.013968129057643108
2003-07-14,-0.009148140861695797
2003-07-15,-0.011312217194570096
2003-07-16,-0.017115876450914724
2003-07-17,-0.031084005508557944
2003-07-18,-0.021148927798544048
2003-07-21,-0.03324808184143213
2003-07-22,-0.024493409403895328
2003-07-23,-0.023804839661617172
2003-07-24,-0.031182372614597664
2003-07-25,-0.014066496163682829
2003-07-28,-0.01770607908715327
2003-07-29,-0.022230965964981197
2003-07-30,-0.02459177650993505
2003-07-31,-0.02232933307102103
2003-08-01,-0.030985638402518112
2003-08-04,-0.030985638402518112
2003-08-05,-0.051544363564823836
2003-08-06,-0.04603580562659837
2003-08-07,-0.036002360810544976
2003-08-08,-0.03324808184143213
2003-08-11,-0.02960849891796169
2003-08-12,-0.020755459374385166
2003-08-13,-0.025772181782411918
2003-08-14,-0.023116269919338905
2003-08-15,-0.0200668896321069
2003-08-18,-0.011607318512689258
2003-08-19,-0.007869368483179207
2003-08-20,-0.01190241983080853
2003-08-21,-0.008754672437536914
2003-08-22,-0.018591383041510978
2003-08-25,-0.017017509344875004
2003-08-26,-0.015246901436159699
2003-08-27,-0.014951800118040537
2003-08-28,-0.008853039543576524
2003-08-29,-0.0021640763328742985
2003-09-02,0.0
2003-09-03,0.0
2003-09-04,0.0
2003-09-05,-0.005608741901170111
2003-09-08,0.0
2003-09-09,-0.006558641975308754
2003-09-10,-0.016589506172839608
2003-09-11,-0.013695987654321007
2003-09-12,-0.01186342592592593
2003-09-15,-0.01533564814814814
2003-09-16,-0.0009645061728396076
2003-09-17,-0.0028935185185186008
2003-09-18,0.0
2003-09-19,-0.00889101338432119
2003-09-22,-0.019598470363288656
2003-09-23,-0.015869980879541057
2003-09-24,-0.033365200764818304
2003-09-25,-0.04130019120458883
2003-09-26,-0.04445506692160606
2003-09-29,-0.035086042065009426
2003-09-30,-0.04445506692160606
2003-10-01,-0.024091778202676828
2003-10-02,-0.020554493307839317
2003-10-03,-0.011567877629063084
2003-10-06,-0.007074569789674912
2003-10-07,-0.0032504780114721576
2003-10-08,-0.005736137667303964
2003-10-09,-0.00305927342256207
2003-10-10,-0.0002868068833652426
2003-10-13,0.0
2003-10-14,0.0
2003-10-15,-0.0026598271112378002
2003-10-16,0.0
2003-10-17,-0.010909780855706264
2003-10-20,-0.0035101034057488656
2003-10-21,-0.005217721278816034
2003-10-22,-0.017740252347974494
2003-10-23,-0.019542737880656524
2003-10-24,-0.01736078170951516
2003-10-27,-0.016886443411441077
2003-10-28,-0.0035101034057488656
2003-10-29,-0.0021819561711411417
2003-10-30,-9.486765961475019e-05
2003-10-31,-0.0010435442557632513
2003-11-03,0.0
2003-11-04,-0.0021700160392489343
2003-11-05,-0.00141522785168402
2003-11-06,0.0
2003-11-07,-0.0074248120300752785
2003-11-10,-0.011466165413533846
2003-11-11,-0.011748120300751896
2003-11-12,-0.0006578947368421906
2003-11-13,-0.0003759398496241406
2003-11-14,-0.008834586466165528
2003-11-17,-0.013815789473684226
2003-11-18,-0.024060150375939893
2003-11-19,-0.015789473684210575
2003-11-20,-0.024624060150375993
2003-11-21,-0.020582706766917425
2003-11-24,-0.007612781954887238
2003-11-25,-0.0038533834586467197
2003-11-26,-0.00028195488721804995
2003-11-28,0.0
2003-12-01,0.0
2003-12-02,-0.0025092936802973975
2003-12-03,-0.004089219330855043
2003-12-04,0.0
2003-12-05,-0.0069702602230483635
2003-12-08,-0.00027881040892197007
2003-12-09,-0.007992565055762069
2003-12-10,-0.008085501858736022
2003-12-11,0.0
2003-12-12,0.0
2003-12-15,-0.004993526909561785
2003-12-16,0.0
2003-12-17,0.0
2003-12-18,0.0
2003-12-19,-0.007473569084943454
2003-12-22,-0.0005468465184105264
2003-12-23,0.0
2003-12-24,-0.0010024605850724733
2003-12-26,-0.0002733983413834018
2003-12-29,0.0
2003-12-30,0.0
2003-12-31,0.0
2004-01-02,-0.00044931703810202617
2004-01-05,0.0
2004-01-06,0.0
2004-01-07,0.0
2004-01-08,0.0
2004-01-09,-0.008731698712294844
2004-01-12,-0.0014111836302698189
2004-01-13,-0.007232316105133085
2004-01-14,0.0
2004-01-15,0.0
2004-01-16,0.0
2004-01-20,-0.00026262803116516853
2004-01-21,0.0
2004-01-22,-0.0026064291920069316
2004-01-23,-0.00582102519548211
2004-01-26,0.0
2004-01-27,-0.010270130318460358
2004-01-28,-0.0215759040303789
2004-01-29,-0.020626564253042212
2004-01-30,-0.020626564253042212
2004-02-02,-0.016397687063087973
2004-02-03,-0.01803745576939675
2004-02-04,-0.02606369206869774
2004-02-05,-0.023215672736687676
2004-02-06,-0.012255113489255232
2004-02-09,-0.01199620264089063
2004-02-10,-0.008802968844394687
2004-02-11,0.0
2004-02-12,-0.0036185060739207797
2004-02-13,-0.008098561213061073
2004-02-17,0.0
2004-02-18,-0.004390117930618942
2004-02-19,-0.00809158991133685
2004-02-20,-0.011104415942153834
2004-02-23,-0.013600757510544903
2004-02-24,-0.015322372385297434
2004-02-25,-0.011190496685891338
2004-02-26,-0.01058793147972803
2004-02-27,-0.009899285529826996
2004-03-01,-8.608074373761543e-05
2004-03-02,-0.005939571317896131
2004-03-03,-0.004131875699406096
2004-03-04,-0.0015494533872772998
2004-03-05,0.0
2004-03-08,-0.012201409176834543
2004-03-09,-0.016153978346794995
2004-03-10,-0.03265165836054307
2004-03-11,-0.04519676920433058
2004-03-12,-0.03265165836054307
2004-03-15,-0.04450936587042442
2004-03-16,-0.039439766282866384
2004-03-17,-0.028699089190582505
2004-03-18,-0.02844131294036778
2004-03-19,-0.04571232170476025
2004-03-22,-0.05782780546485644
2004-03-23,-0.0594603883828837
2004-03-24,-0.05868705963223919
2004-03-25,-0.04622787420518981
2004-03-26,-0.04597009795497509
2004-03-29,-0.032565732943804715
2004-03-30,-0.02930056710775042
2004-03-31,-0.028183536690152944
2004-04-01,-0.02234060835195051
2004-04-02,-0.014951022512459167
2004-04-05,-0.00953772125794805
2004-04-06,-0.012716961677263994
2004-04-07,-0.015036947929197408
2004-04-08,-0.01727100876439247
2004-04-12,-0.013404365011170372
2004-04-13,-0.027238357106031952
2004-04-14,-0.025691699604743046
2004-04-15,-0.029386492524488772
2004-04-16,-0.021910981268259078
2004-04-19,-0.021910981268259078
2004-04-20,-0.03832273586526891
2004-04-21,-0.03187832960989856
2004-04-22,-0.018302113765251704
2004-04-23,-0.017356934181130712
2004-04-26,-0.018731740848943024
2004-04-27,-0.017872486681560384
2004-04-28,-0.0305894483588246
2004-04-29,-0.03909606461591342
2004-04-30,-0.046571575872143
2004-05-03,-0.03634645128028857
2004-05-04,-0.03711978003093308
2004-05-05,-0.030933150025777567
2004-05-06,-0.0392679154493899
2004-05-07,-0.05516411754597006
2004-05-10,-0.0648736896373947
2004-05-11,-0.0569685512974738
2004-05-12,-0.05095377212579477
2004-05-13,-0.054906341295755334
2004-05-14,-0.05447671421206379
2004-05-17,-0.0625537033854614
2004-05-18,-0.05782780546485644
2004-05-19,-0.06109297130091085
2004-05-20,-0.05808558171507128
2004-05-21,-0.05645299879704413
2004-05-24,-0.05250042962708368
2004-05-25,-0.03892421378243682
2004-05-26,-0.035573122529644285
2004-05-27,-0.03015982127513306
2004-05-28,-0.03024574669187141
2004-06-01,-0.03153462794294559
2004-06-02,-0.027925760439938108
2004-06-03,-0.036862003780718244
2004-06-04,-0.029214641691012178
2004-06-07,-0.014435470012029494
2004-06-08,-0.013060663344217183
2004-06-09,-0.022254682935212156
2004-06-10,-0.017442859597869065
2004-06-14,-0.02715243168929371
2004-06-15,-0.02027839835023204
2004-06-16,-0.020450249183708524
2004-06-17,-0.021910981268259078
2004-06-18,-0.023629489603024578
2004-06-21,-0.027324282522770194
2004-06-22,-0.02242653376868875
2004-06-23,-0.014005842928338175
2004-06-24,-0.017099157930915876
2004-06-25,-0.021825055851520836
2004-06-28,-0.025176147104313373
2004-06-29,-0.02113765251761468
2004-06-30,-0.01589620209658016
2004-07-01,-0.029558343357965255
2004-07-02,-0.030073895858394928
2004-07-06,-0.038580512115483745
2004-07-07,-0.03574497336312077
2004-07-08,-0.04261900670218244
2004-07-09,-0.03995531878329606
2004-07-12,-0.03952569169960474
2004-07-13,-0.03883828836569858
2004-07-14,-0.0417597525347998
2004-07-15,-0.04794638253995531
2004-07-16,-0.04871971129059982
2004-07-19,-0.052758205877298514
2004-07-20,-0.040728647533940454
2004-07-21,-0.058429283382024355
2004-07-22,-0.055851520879876215
2004-07-23,-0.06375665921979723
2004-07-26,-0.06556109297130086
2004-07-27,-0.05679670046399721
2004-07-28,-0.05396116171163434
2004-07-29,-0.04992266712493554
2004-07-30,-0.04760268087300212
2004-08-02,-0.04562639628802201
2004-08-03,-0.05301598212751335
2004-08-04,-0.05310190754425148
2004-08-05,-0.06856848255714032
2004-08-06,-0.08188692215157245
2004-08-09,-0.08059804090049838
2004-08-10,-0.06874033339061691
2004-08-11,-0.0706306925588589
2004-08-12,-0.08076989173397486
2004-08-13,-0.07896545798247123
2004-08-16,-0.06942773672452307
2004-08-17,-0.06418628630348855
2004-08-18,-0.054562639628802145
2004-08-19,-0.05731225296442688
2004-08-20,-0.050695995875579936
2004-08-23,-0.05310190754425148
2004-08-24,-0.05181302629317752
2004-08-25,-0.04536862003780717
2004-08-26,-0.04536862003780717
2004-08-27,-0.0423612304519676
2004-08-30,-0.050266368791888616
2004-08-31,-0.04528269462106893
2004-09-01,-0.04347826086956519
2004-09-02,-0.03265165836054307
2004-09-03,-0.03660422753050341
2004-09-07,-0.03024574669187141
2004-09-08,-0.03265165836054307
2004-09-09,-0.03351091252792571
2004-09-10,-0.028527238357106022
2004-09-13,-0.025347997937789857
2004-09-14,-0.023371713352809742
2004-09-15,-0.030761299192301084
2004-09-16,-0.027839835023199866
2004-09-17,-0.027753909606461513
2004-09-20,-0.03359683794466395
2004-09-21,-0.029386492524488772
2004-09-22,-0.04150197628458496
2004-09-23,-0.04665750128888124
2004-09-24,-0.04227530503522947
2004-09-27,-0.04837600962364663
2004-09-28,-0.043821962536518266
2004-09-29,-0.039010139199175065
2004-09-30,-0.03969754253308122
2004-10-01,-0.023457638769547984
2004-10-04,-0.021825055851520836
2004-10-05,-0.021309503351091164
2004-10-06,-0.01512287334593565
2004-10-07,-0.025176147104313373
2004-10-08,-0.03325313627771087
2004-10-11,-0.02930056710775042
2004-10-12,-0.03308128544423439
2004-10-13,-0.041587901701323204
2004-10-14,-0.049321189207767624
2004-10-15,-0.04399381336999475
2004-10-18,-0.040384945866987376
2004-10-19,-0.048461935040384985
2004-10-20,-0.05035229420862686
2004-10-21,-0.044165664203471344
2004-10-22,-0.054906341295755334
2004-10-25,-0.05602337171335281
2004-10-26,-0.041587901701323204
2004-10-27,-0.030073895858394928
2004-10-28,-0.02715243168929371
2004-10-29,-0.027324282522770194
2004-11-01,-0.0246605946038837
2004-11-02,-0.024316892936930734
2004-11-03,-0.012029558343357838
2004-11-04,0.0
2004-11-05,0.0
2004-11-08,-0.0014495225102318932
2004-11-09,-0.0034106412005457942
2004-11-10,-0.002643246930422949
2004-11-11,0.0
2004-11-12,0.0
2004-11-15,-0.0005050930212980864
2004-11-16,-0.0076605774896877366
2004-11-17,-0.001767825574543358
2004-11-18,-0.0004209108510818682
2004-11-19,-0.01153295731963977
2004-11-22,-0.006818755787524222
2004-11-23,-0.005303476723629963
2004-11-24,-0.0029463759575723003
2004-11-26,-0.0037040154895193744
2004-11-29,-0.008249852681202152
2004-11-30,-0.007576395319471407
2004-12-01,0.0
2004-12-02,0.0
2004-12-03,-0.0006704097879829396
2004-12-06,-0.0010056146819743539
2004-12-07,-0.010307550490237238
2004-12-08,-0.0045252660688845925
2004-12-09,-0.0010056146819743539
2004-12-10,0.0
2004-12-13,0.0
2004-12-14,0.0
2004-12-15,0.0
2004-12-16,-0.0005790866975512454
2004-12-17,-0.01191264063534081
2004-12-20,-0.011664460622104578
2004-12-21,-0.00405360688285894
2004-12-22,-0.0016545334215750662
2004-12-23,-0.0009099933818662587
2004-12-27,-0.0029781601588352302
2004-12-28,0.0
2004-12-29,0.0
2004-12-30,-0.0018951878707976766
2004-12-31,-0.004037574159525326
2005-01-03,-0.0087343441001978
2005-01-04,-0.020847066578773887
2005-01-05,-0.027603823335530575
2005-01-06,-0.02265985497692813
2005-01-07,-0.024060646011865527
2005-01-10,-0.01944627554383649
2005-01-11,-0.026203032300593176
2005-01-12,-0.022989452867501647
2005-01-13,-0.030817402768622215
2005-01-14,-0.02570863546473301
2005-01-18,-0.015573500329597922
2005-01-19,-0.02587343441001977
2005-01-20,-0.03180619644034277
2005-01-21,-0.03773895847066577
2005-01-24,-0.03963414634146345
2005-01-25,-0.03691496374423209
2005-01-26,-0.034030982201713855
2005-01-27,-0.03238299274884637
2005-01-28,-0.03238299274884637
2005-01-31,-0.026367831245880047
2005-02-01,-0.02018787079762696
2005-02-02,-0.017221489782465405
2005-02-03,-0.018539881344759368
2005-02-04,-0.009311140408701402
2005-02-07,-0.010629531970995476
2005-02-08,-0.009475939353988161
2005-02-09,-0.016891891891891886
2005-02-10,-0.013348714568226838
2005-02-11,-0.004861568885959122
2005-02-14,-0.005603164139749484
2005-02-15,-0.0018951878707976766
2005-02-16,-0.0012359920896506393
2005-02-17,-0.009311140408701402
2005-02-18,-0.007992748846407327
2005-02-22,-0.022742254449571564
2005-02-23,-0.01573829927488457
2005-02-24,-0.009228740936058077
